Friday, March 4, 2016 10:58:46 PM,asdfasdf,80,Port Closed,Friday, March 4, 2016 10:58:46 PM,132.33.129.104,443,Port Open
Friday, March 4, 2016 11:06:13 PM,asdfasdf,80,Port Closed,Friday, March 4, 2016 11:06:13 PM,132.33.129.104,443,Port Open
Saturday, March 5, 2016 12:04:22 AM,asdfasdf,80,Port Closed,Saturday, March 5, 2016 12:04:22 AM,132.33.129.104,443,Port Open
Saturday, March 5, 2016 12:07:33 AM,asdfasdf,80,Port Closed,Saturday, March 5, 2016 12:07:33 AM,132.33.129.104,443,Port Open
Saturday, March 5, 2016 12:29:23 AM,asdfasdf,80,Port Closed,Saturday, March 5, 2016 12:29:23 AM,132.33.129.104,443,Port Open
Sunday, March 6, 2016 11:46:43 AM,asdfasdf,80,Port Closed,Sunday, March 6, 2016 11:46:43 AM,132.33.129.104,443,Port Open
Sunday, March 6, 2016 12:32:54 PM,asdfasdf,80,Port Closed,Sunday, March 6, 2016 12:32:54 PM,132.33.129.104,443,Port Open
Sunday, March 6, 2016 1:31:32 PM,asdfasdf,80,Port Closed,Sunday, March 6, 2016 1:31:32 PM,132.33.129.104,443,Port Open
Thursday, April 28, 2016 6:13:33 PM,asdfasdf,80,Port Closed,Thursday, April 28, 2016 6:13:33 PM,132.33.129.104,443,Port Open
Thursday, April 28, 2016 8:05:36 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:05:36 PM,my.us.af.mil,443,Port Closed
Thursday, April 28, 2016 8:09:07 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:09:07 PM,my.us.af.mil,443,Port Closed
Thursday, April 28, 2016 8:09:50 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:09:50 PM,www.my.af.mil,443,Port Open
Thursday, April 28, 2016 8:11:44 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:11:44 PM,www.my.af.mil,443,Port Open
Thursday, April 28, 2016 8:12:14 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:12:14 PM,www.my.af.mil,443,Port Open
Thursday, April 28, 2016 8:12:44 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:12:44 PM,www.my.af.mil,443,Port Open
Thursday, April 28, 2016 8:13:14 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:13:14 PM,www.my.af.mil,443,Port Open
Thursday, April 28, 2016 8:13:44 PM,www.google.com,80,Port Open,Thursday, April 28, 2016 8:13:44 PM,www.my.af.mil,443,Port Open
